"MonthsonHousingRegister","FamilyType","PeopleonApplication","DisabilityApplicationFlag","AtRiskOfOrExperiencingHomelessnessFlag"
64," Single Person",1,"Yes","Yes"
64," Single Person",1,"Yes","Yes"
64," Single Person",1,"No","No"
65," Other",5,"Yes","No"
64," Single Person",1,"No","Yes"
64," Single Person Over ",1,"Yes","No"
64," Single Person",1,"No","Yes"
66," Single Parent,  Children",3,"No","Yes"
64," Single Person Over ",1,"Yes","No"
59," Single Parent,  Children",3,"No","Yes"
64," Single Person",1,"No","Yes"
64," Single Person",1,"No","Yes"
64," Other",2,"Yes","No"
64," Single Person",1,"Yes","Yes"
64," Single Person Over ",1,"Yes","No"
64," Single Person",1,"No","No"
64," Single Parent,  Child",2,"No","Yes"
64," Single Person",1,"Yes","Yes"
64," Other",2,"No","No"
65," Single Person Over ",1,"Yes","No"
64," Single Parent,  Child",2,"No","No"
64," Single Person",1,"No","Yes"
64," Single Person",1,"Yes","No"
64," Single Person Over ",1,"Yes","No"
24," Single Person",1,"Yes","Yes"
64," Single Parent,  Child",2,"Yes","Yes"
64," Single Person",1,"No","No"
64," Single Person",1,"No","Yes"
64," Single Person",1,"Yes","No"
64," Single Person Over ",1,"Yes","No"
64," Single Person",1,"Yes","No"
63," Single Parent,  Children",3,"No","Yes"
64," Single Person Over ",1,"Yes","Yes"
64," Single Person",1,"Yes","Yes"
64," Single Person",1,"No","No"
64," Single Person",1,"Yes","Yes"
66," Single Person",1,"Yes","Yes"
64," Single Person Over ",1,"Yes","No"
64," Single Person Over ",1,"Yes","Yes"
64," Single Person",1,"No","Yes"
64," Single Person",1,"No","No"
65," Single Parent,  Children",3,"Yes","Yes"
64," Single Person Over ",1,"Yes","No"
64," Single Person Over ",1,"Yes","No"
34," Single Parent,  Child",2,"Yes","Yes"
64," Single Person",1,"No","No"
64," Single Person Over ",1,"Yes","Yes"
64," Single Person",1,"No","No"
4," Single Person",1,"No","Yes"
64," Single Person",1,"Yes","Yes"
64," Single Parent,  Child",2,"Yes","No"
65," Single Person",1,"Yes","No"
64," Single Person",1,"No","Yes"
63," Single Parent, > Children",5,"No","Yes"
64," Other",2,"No","Yes"
63," Single Person",1,"No","Yes"
63," Single Person",1,"Yes","Yes"
63," Single Parent,  Children",3,"Yes","No"
64," Single Person",1,"No","Yes"
64," Single Person",1,"No","Yes"
65," Single Parent,  Children",3,"No","No"
63," Single Person Over ",1,"Yes","No"
63," Single Person",1,"Yes","No"
65," Single Person",1,"Yes","Yes"
64," Single Person",1,"Yes","Yes"
53," Single Person",1,"Yes","No"
63," Single Person Over ",1,"No","Yes"
63," Single Parent,  Children",3,"Yes","Yes"
66," Single Parent,  Children",3,"No","Yes"
63," Single Parent,  Child",2,"No","Yes"
63," Single Parent, > Children",6,"Yes","Yes"
63," Single Person Over ",1,"Yes","No"
63," Single Parent, > Children",4,"Yes","Yes"
65," Single Person Over ",1,"Yes","Yes"
63," Single Person",1,"No","Yes"
64," Single Person",1,"Yes","No"
63," Single Person",1,"No","Yes"
63," Single Person",1,"No","Yes"
63," Single Person Over ",1,"Yes","No"
41," Single Person",1,"Yes","Yes"
63," Single Person",1,"Yes","Yes"
63," Single Person",1,"No","No"
63," Single Person Over ",1,"Yes","No"
64," Single Person Over ",1,"Yes","No"
64," Single Person Over ",1,"Yes","No"
64," Single Person Over ",1,"Yes","No"
63," Single Parent,  Child",2,"No","No"
64," Single Parent, > Children",6,"No","Yes"
63," Single Person",1,"No","Yes"
63," Single Parent, > Children",4,"No","Yes"
63," Single Parent, > Children",6,"No","No"
63," Single Parent, > Children",6,"No","No"
60," Single Parent,  Children",3,"No","No"
63," Single Parent,  Children",3,"No","No"
61," Single Parent,  Children",3,"Yes","No"
64," Single Person",1,"No","No"
39," Single Person",1,"No","Yes"
63," Single Person",1,"No","No"
58," Single Person",1,"No","Yes"
64," Single Person",1,"No","No"
63," Single Person",1,"No","No"
63," Single Person",1,"No","No"
63," Single Person",1,"Yes","Yes"
63," Single Person",1,"Yes","No"
64," Single Person",1,"No","Yes"
63," Single Parent, > Children",4,"No","No"
63," Single Parent,  Child",2,"No","Yes"
63," Single Person",1,"No","No"
63," Single Person",1,"No","Yes"
63," Single Parent,  Child",2,"Yes","No"
64," Single Parent,  Child",2,"No","Yes"
63," Single Person",1,"Yes","No"
63," Single Person Over ",1,"Yes","No"
63," Single Person",1,"Yes","No"
63," Single Person Over ",1,"Yes","No"
63," Single Parent, > Children",5,"No","Yes"
63," Single Parent,  Children",3,"Yes","Yes"
63," Single Person",1,"No","Yes"
63," Single Parent,  Child",2,"Yes","No"
63," Single Person",1,"No","Yes"
62," Single Parent,  Child",2,"Yes","No"
62," Single Person",1,"No","Yes"
62," Single Person",1,"No","No"
62," Single Person",1,"No","No"
62," Single Person Over ",1,"Yes","No"
62," Single Parent, > Children",4,"No","No"
63," Single Person",1,"No","No"
62," Single Person",1,"Yes","No"
62," Single Person",1,"Yes","No"
62," Single Parent, > Children",5,"Yes","No"
62," Single Parent,  Child",3,"No","No"
64," Single Person",1,"Yes","No"
62," Single Person Over ",1,"Yes","Yes"
62," Single Person",1,"Yes","No"
61," Single Person",1,"Yes","Yes"
62," Single Person Over ",1,"Yes","No"
62," Single Parent, > Children",4,"Yes","No"
56," Other",2,"Yes","Yes"
62," Single Person Over ",1,"Yes","Yes"
62," Single Parent, > Children",4,"No","No"
62," Single Person",1,"Yes","Yes"
63," Single Person",1,"No","No"
62," Single Person",1,"No","Yes"
62," Single Person",1,"No","Yes"
63," Single Person",1,"No","No"
62," Single Person",1,"Yes","No"
62," Single Person Over ",1,"Yes","No"
62," Single Person",1,"No","No"
62," Single Person",1,"No","No"
62," Single Person",1,"No","Yes"
62," Single Parent, > Children",5,"No","No"
63," Single Parent,  Children",3,"No","No"
62," Single Person",1,"Yes","Yes"
62," Single Person Over ",1,"Yes","No"
63," Single Person Over ",1,"Yes","No"
62," Single Person Over ",1,"Yes","No"
62," Single Parent, > Children",6,"No","Yes"
62," Single Person",1,"No","No"
62," Single Person",1,"No","Yes"
62," Single Person",1,"No","No"
62," Single Parent,  Child",2,"No","No"
62," Single Person Over ",1,"Yes","No"
64," Other",6,"No","No"
62," Single Person Over ",1,"Yes","No"
62," Single Person",1,"No","No"
62," Single Person Over ",1,"Yes","No"
62," Single Person",1,"Yes","No"
62," Single Person",1,"No","Yes"
62," Single Parent,  Children",3,"No","No"
62," Single Person",1,"Yes","Yes"
62," Single Parent,  Child",2,"No","No"
63," Single Person",1,"Yes","Yes"
62," Single Person Over ",1,"Yes","No"
61," Single Person Over ",1,"Yes","No"
61," Single Parent,  Child",2,"No","No"
62," Single Person",1,"Yes","No"
61," Single Person",1,"Yes","No"
61," Single Person",1,"No","Yes"
61," Single Person",1,"Yes","Yes"
61," Single Parent, > Children",4,"No","Yes"
61," Single Person",1,"Yes","No"
63," Single Parent, > Children",5,"No","No"
61," Single Person Over ",1,"Yes","No"
61," Single Person",1,"No","No"
61," Single Parent,  Children",3,"Yes","No"
61," Single Person Over ",1,"Yes","No"
61," Single Person Over ",1,"Yes","No"
61," Single Person Over ",1,"Yes","No"
61," Single Person Over ",1,"No","No"
61," Single Person",1,"Yes","No"
62," Single Person",1,"No","No"
62," Single Person Over ",1,"Yes","No"
61," Single Parent,  Child",2,"No","No"
61," Single Person",1,"No","Yes"
61," Single Person",1,"No","Yes"
63," Single Parent,  Children",3,"No","Yes"
61," Single Person",1,"Yes","No"
61," Single Person",1,"No","Yes"
61," Single Parent,  Children",3,"Yes","Yes"
61," Single Parent, > Children",6,"No","Yes"
61," Single Person",1,"No","No"
62," Single Parent,  Children",3,"No","Yes"
48," Single Person",1,"No","No"
61," Single Person",1,"Yes","No"
62," Single Parent,  Child",2,"No","No"
61," Single Person",1,"No","No"
61," Single Person",1,"No","Yes"
61," Single Person",1,"No","No"
61," Single Person",1,"No","Yes"
61," Single Person Over ",1,"Yes","No"
61," Single Person Over ",1,"Yes","No"
61," Single Person",1,"No","Yes"
61," Single Person Over ",1,"Yes","No"
61," Single Parent,  Children",3,"No","Yes"
61," Single Person",1,"Yes","Yes"
61," Single Person",1,"Yes","Yes"
61," Single Person",1,"No","Yes"
61," Single Parent, > Children",6,"No","Yes"
61," Single Person Over ",1,"Yes","No"
61," Single Person",1,"No","No"
61," Single Parent,  Children",3,"No","No"
61," Single Person",1,"No","No"
61," Single Person",1,"No","Yes"
61," Single Person Over ",1,"Yes","Yes"
61," Single Person",1,"No","No"
61," Single Person",1,"Yes","No"
63," Single Parent,  Child",2,"No","No"
61," Single Parent, > Children",5,"Yes","No"
61," Single Parent, > Children",4,"No","Yes"
61," Single Parent,  Children",3,"Yes","No"
61," Single Parent, > Children",4,"No","Yes"
63," Single Person",1,"No","Yes"
61," Single Person",1,"Yes","No"
61," Single Person Over ",1,"Yes","No"
61," Single Parent, > Children",5,"No","Yes"
61," Single Parent, > Children",5,"No","Yes"
61," Single Person Over ",1,"Yes","Yes"
61," Single Person",1,"No","Yes"
61," Single Person",1,"No","No"
61," Single Parent,  Child",2,"No","No"
61," Single Person Over ",1,"Yes","Yes"
61," Single Person",1,"No","Yes"
61," Single Person",1,"Yes","Yes"
61," Single Person",1,"Yes","No"
61," Single Person",1,"No","No"
61," Single Person",1,"Yes","Yes"
63," Single Person",1,"No","Yes"
61," Single Person",1,"No","Yes"
62," Single Person",1,"Yes","No"
61," Single Parent,  Children",3,"No","No"
61," Single Person",1,"No","Yes"
60," Single Person",1,"No","No"
61," Single Person",1,"No","Yes"
61," Single Person Over ",1,"Yes","No"
61," Single Person",1,"Yes","No"
61," Single Person",1,"No","No"
61," Single Parent,  Children",3,"No","Yes"
61," Single Person Over ",1,"Yes","Yes"
61," Single Parent,  Children",3,"No","No"
60," Single Person",1,"Yes","No"
60," Single Person",1,"No","No"
60," Single Person",1,"No","Yes"
60," Single Person",1,"No","No"
60," Single Parent,  Children",3,"No","No"
60," Single Parent, > Children",7,"No","Yes"
60," Single Person",1,"Yes","No"
61," Single Person",1,"Yes","No"
61," Single Person",1,"Yes","No"
61," Single Parent,  Child",2,"Yes","Yes"
60," Single Parent, > Children",6,"No","Yes"
60," Single Person",1,"Yes","No"
60," Single Parent, > Children",4,"No","No"
60," Single Person",1,"No","No"
60," Single Person",1,"Yes","Yes"
60," Single Person",1,"No","Yes"
60," Single Person Over ",1,"Yes","No"
61," Single Person",1,"Yes","No"
77," Single Person",1,"Yes","Yes"
60," Single Person",1,"No","Yes"
60," Single Person",1,"No","Yes"
60," Single Parent, > Children",5,"No","Yes"
60," Single Parent,  Children",4,"Yes","No"
60," Single Parent, > Children",4,"No","Yes"
60," Single Person",1,"Yes","Yes"
60," Single Person",1,"Yes","No"
60," Single Person",1,"Yes","Yes"
60," Single Person",1,"Yes","Yes"
60," Single Person Over ",1,"Yes","No"
60," Single Person",1,"No","No"
61," Single Person",1,"No","No"
60," Single Person",1,"No","Yes"
60," Single Person",1,"No","Yes"
61," Single Person",1,"No","No"
60," Single Person",1,"No","Yes"
60," Single Parent, > Children",4,"No","Yes"
60," Single Person Over ",1,"Yes","No"
63," Single Parent,  Child",2,"No","Yes"
62," Single Person",1,"Yes","Yes"
60," Single Person",1,"Yes","No"
60," Single Parent,  Child",2,"No","No"
60," Single Person",1,"Yes","Yes"
60," Single Person",1,"Yes","Yes"
60," Single Parent,  Child",2,"No","No"
60," Single Person Over ",1,"Yes","No"
60," Single Parent, > Children",5,"No","No"
60," Single Person",1,"No","Yes"
60," Single Person",1,"No","Yes"
60," Single Person",1,"No","Yes"
60," Single Person",1,"Yes","No"
60," Single Parent, > Children",4,"No","No"
60," Single Parent, > Children",4,"No","Yes"
60," Single Person Over ",1,"Yes","No"
60," Single Person Over ",1,"No","Yes"
60," Single Person",1,"Yes","Yes"
60," Single Person",1,"Yes","No"
60," Single Person",1,"Yes","Yes"
60," Single Person",1,"No","No"
60," Single Parent, > Children",5,"No","Yes"
60," Single Parent, > Children",4,"No","Yes"
60," Single Parent,  Child",2,"No","Yes"
60," Single Person",1,"No","No"
64," Single Person",1,"No","Yes"
60," Single Person",1,"No","Yes"
60," Single Person",1,"No","Yes"
60," Single Person",1,"Yes","Yes"
61," Single Person",1,"No","Yes"
60," Single Person",1,"Yes","No"
60," Single Person Over ",1,"Yes","No"
60," Single Parent, > Children",6,"No","Yes"
60," Single Person",1,"No","No"
33," Single Parent,  Children",3,"No","Yes"
60," Single Parent,  Children",3,"No","Yes"
60," Single Person",1,"Yes","Yes"
59," Single Person Over ",1,"Yes","No"
59," Single Person",1,"Yes","Yes"
59," Single Person",1,"No","Yes"
61," Single Parent,  Child",2,"No","Yes"
60," Single Person",1,"No","No"
59," Other",4,"Yes","No"
59," Single Parent,  Children",3,"No","No"
60," Single Parent,  Children",3,"No","Yes"
61," Single Person",1,"Yes","Yes"
59," Single Person",1,"No","Yes"
59," Single Person",1,"No","No"
59," Single Person",1,"No","No"
59," Single Person",1,"Yes","No"
59," Single Person",1,"Yes","No"
59," Single Person",1,"Yes","No"
59," Single Person",1,"No","No"
59," Single Person",1,"No","Yes"
59," Single Person",1,"Yes","Yes"
59," Single Person",1,"No","Yes"
59," Single Person",1,"Yes","No"
59," Couple, > Children",6,"Yes","No"
59," Single Person Over ",1,"Yes","No"
62," Single Person",1,"No","No"
59," Single Person",1,"Yes","Yes"
59," Single Person",1,"Yes","No"
59," Single Person Over ",1,"Yes","No"
59," Single Person",1,"Yes","No"
59," Single Person",1,"Yes","No"
59," Single Person Over ",1,"Yes","No"
59," Single Parent, > Children",4,"No","Yes"
59," Single Parent, > Children",4,"No","Yes"
60," Single Person",1,"No","No"
60," Single Person",1,"Yes","Yes"
59," Single Parent,  Child",2,"Yes","No"
62," Single Person Over ",1,"Yes","No"
59," Single Parent, > Children",4,"No","No"
59," Single Person",1,"Yes","No"
59," Single Person",1,"Yes","No"
59," Single Person",1,"No","No"
59," Single Person",1,"No","Yes"
59," Single Person",1,"No","Yes"
59," Single Person Over ",1,"Yes","No"
59," Single Parent,  Children",3,"No","No"
59," Single Person Over ",1,"Yes","No"
59," Single Parent,  Child",2,"No","No"
60," Single Person",1,"No","Yes"
60," Single Person",1,"Yes","No"
59," Single Person",1,"No","Yes"
59," Single Person Over ",1,"No","No"
59," Single Parent, > Children",4,"No","Yes"
59," Single Person Over ",1,"Yes","No"
60," Single Person",1,"No","Yes"
59," Single Person",1,"Yes","No"
59," Couple, > Children",5,"No","Yes"
59," Single Parent, > Children",4,"No","Yes"
61," Single Person Over ",1,"Yes","Yes"
59," Single Parent,  Children",3,"No","No"
60," Single Person Over ",1,"Yes","Yes"
59," Single Person",1,"Yes","Yes"
59," Single Person",1,"Yes","Yes"
59," Single Person",1,"No","No"
59," Single Person",1,"Yes","No"
59," Other",2,"No","Yes"
59," Single Parent,  Children",3,"No","Yes"
59," Single Person",1,"No","Yes"
59," Single Person",1,"No","No"
59," Single Person",1,"No","Yes"
59," Single Person",1,"Yes","Yes"
59," Single Person",1,"No","Yes"
59," Single Person",1,"No","No"
59," Single Person",1,"No","No"
59," Single Person",1,"No","Yes"
59," Single Person",1,"No","Yes"
59," Single Person",1,"Yes","No"
59," Single Person",1,"Yes","No"
59," Single Person",1,"No","Yes"
59," Single Person Over ",1,"Yes","No"
59," Single Person",1,"No","Yes"
59," Single Person",1,"No","No"
59," Single Person Over ",1,"Yes","Yes"
59," Single Person",1,"Yes","No"
59," Single Person",1,"No","No"
59," Single Person",1,"Yes","Yes"
59," Single Person",1,"No","No"
59," Single Parent,  Child",2,"Yes","No"
59," Single Parent,  Child",2,"No","Yes"
59," Single Person",1,"Yes","No"
59," Single Person",1,"No","Yes"
59," Single Person",1,"No","Yes"
59," Single Parent,  Children",3,"No","No"
59," Single Person",1,"No","Yes"
60," Single Person",1,"No","Yes"
59," Single Person",1,"No","No"
59," Single Parent,  Child",2,"No","No"
45," Single Person",1,"Yes","No"
59," Single Person",1,"No","No"
59," Single Person Over ",1,"Yes","No"
59," Single Person",1,"No","No"
61," Single Person",1,"Yes","No"
59," Single Person",1,"Yes","Yes"
59," Single Person",1,"No","Yes"
59," Single Person",1,"Yes","No"
59," Single Person",1,"Yes","No"
59," Single Person",1,"No","Yes"
58," Single Person",1,"Yes","No"
59," Single Person",1,"Yes","No"
58," Single Person",1,"No","No"
58," Single Parent, > Children",4,"No","No"
58," Single Parent,  Child",2,"Yes","Yes"
58," Single Parent, > Children",6,"No","Yes"
59," Single Person",1,"Yes","No"
59," Single Person",1,"No","Yes"
58," Single Person",1,"No","Yes"
58," Single Person",1,"Yes","No"
61," Single Person",1,"No","Yes"
59," Single Person",1,"Yes","No"
58," Other",6,"No","No"
58," Single Person",1,"No","No"
58," Single Person Over ",1,"Yes","No"
58," Single Person",1,"No","No"
59," Single Person",1,"No","Yes"
58," Single Parent,  Children",3,"No","Yes"
58," Single Person",1,"No","No"
58," Single Person",1,"Yes","No"
58," Single Person",1,"No","No"
58," Single Person",1,"No","No"
58," Single Person",1,"Yes","No"
59," Single Person",1,"Yes","No"
58," Single Person",1,"No","Yes"
58," Single Person",1,"No","Yes"
58," Single Parent,  Child",2,"No","No"
58," Single Person",1,"No","Yes"
60," Single Parent, > Children",4,"Yes","No"
58," Single Parent,  Children",3,"No","Yes"
58," Single Person",1,"Yes","No"
58," Single Person Over ",1,"Yes","No"
58," Single Person",1,"No","No"
58," Single Parent, > Children",5,"No","No"
58," Single Person",1,"No","Yes"
51," Single Person",1,"No","Yes"
58," Single Parent, > Children",4,"Yes","No"
58," Single Person Over ",1,"Yes","No"
59," Single Person Over ",1,"Yes","No"
59," Single Parent, > Children",5,"No","No"
46," Single Person",1,"Yes","Yes"
59," Single Person",1,"No","No"
58," Single Person",1,"No","No"
58," Couple, > Children",6,"No","No"
58," Single Person",1,"Yes","Yes"
58," Single Person",1,"No","Yes"
58," Single Person",1,"No","No"
59," Single Parent, > Children",5,"No","Yes"
43," Single Parent,  Children",3,"Yes","No"
61," Single Person",1,"No","Yes"
58," Single Person",1,"No","No"
56," Single Person",1,"Yes","No"
58," Single Parent, > Children",4,"No","Yes"
58," Single Person",1,"Yes","No"
43," Single Person Over ",1,"Yes","No"
